"time","CR","HM","HT"
"04/02/2025 17:31:03","884","24.5","33.5"
"04/02/2025 17:36:03","908","24.5","33.4"
"04/02/2025 17:41:02","893","24.5","33.4"
"04/02/2025 17:46:03","903","24.5","33.4"
"04/02/2025 17:51:02","874","24.5","33.4"
"04/02/2025 17:56:03","872","24.6","33.4"
"04/02/2025 18:01:04","875","24.6","33.3"
"04/02/2025 18:04:48","967","24.6","33.3"
"04/02/2025 18:06:02","894","24.6","33.3"
"04/02/2025 18:11:02","883","24.6","33.3"
"04/02/2025 18:16:01","881","24.7","33.2"
"04/02/2025 18:21:02","889","24.6","33.3"
"04/02/2025 18:26:02","869","24.6","33.3"
"04/02/2025 18:31:03","872","24.7","33.2"
"04/02/2025 18:36:04","882","24.7","33.2"
"04/02/2025 18:40:41","875","24.6","33.2"
"04/02/2025 18:45:40","871","24.6","33.3"
"04/02/2025 18:50:40","877","24.5","33.3"
"04/02/2025 18:55:41","861","24.7","33.2"
"04/02/2025 19:00:40","889","24.7","33.2"
"04/02/2025 19:05:40","881","24.8","33.1"
"04/02/2025 19:10:41","880","24.7","33.2"
"04/02/2025 19:15:40","871","24.7","33.2"
"04/02/2025 19:20:40","869","24.7","33.2"
"04/02/2025 19:25:42","871","24.7","33.2"
"04/02/2025 19:30:39","870","24.6","33.2"
"04/02/2025 19:35:40","882","24.6","33.2"
"04/02/2025 19:40:40","886","24.7","33.2"
"04/02/2025 19:45:39","888","24.7","33.1"
"04/02/2025 19:50:39","873","24.7","33.1"
"04/02/2025 19:55:40","881","24.7","33.1"
"04/02/2025 20:00:40","880","24.7","33.1"
"04/02/2025 20:05:39","878","24.7","33.2"
"04/02/2025 20:10:39","877","24.7","33"
"04/02/2025 20:15:39","889","24.8","33"
"04/02/2025 20:20:39","884","24.8","33"
"04/02/2025 20:25:39","878","24.8","33"
"04/02/2025 20:30:40","909","24.8","33"
"04/02/2025 20:35:41","875","24.7","33"
"04/02/2025 20:40:40","880","24.7","33"
"04/02/2025 20:45:40","871","24.7","33"
"04/02/2025 20:50:40","877","24.7","33.1"
"04/02/2025 20:55:40","872","24.7","33"
"04/02/2025 21:00:41","877","24.7","33"
"04/02/2025 21:05:40","917","24.6","33"
"04/02/2025 21:10:41","883","24.6","33"
"04/02/2025 21:15:40","884","24.7","33"
"04/02/2025 21:20:39","874","24.7","33"
"04/02/2025 21:25:39","894","24.7","32.9"
"04/02/2025 21:30:39","889","24.7","32.9"
"04/02/2025 21:35:40","897","24.7","32.9"
"04/02/2025 21:40:40","872","24.6","33"
"04/02/2025 21:45:39","878","24.6","33"
"04/02/2025 21:50:39","888","24.6","32.9"
"04/02/2025 21:55:39","881","24.6","33"
"04/02/2025 22:00:40","887","24.6","33"
"04/02/2025 22:05:40","882","24.5","32.9"
"04/02/2025 22:10:39","884","24.6","32.9"
"04/02/2025 22:15:39","884","24.6","32.9"
"04/02/2025 22:20:38","908","24.6","32.9"
"04/02/2025 22:25:38","888","24.6","32.9"
"04/02/2025 22:30:39","894","24.5","33"
"04/02/2025 22:35:38","888","24.5","33"
"04/02/2025 22:40:38","892","24.5","33"
"04/02/2025 22:45:38","899","24.5","33"
"04/02/2025 22:50:38","912","24.5","33"
"04/02/2025 22:55:37","887","24.5","33"
"04/02/2025 23:00:37","895","24.5","33"
"04/02/2025 23:05:37","899","24.5","32.9"
"04/02/2025 23:10:36","894","24.4","32.9"
"04/02/2025 23:15:36","893","24.4","33"
"04/02/2025 23:20:37","893","24.5","32.9"
"04/02/2025 23:25:37","903","24.5","32.9"
"04/02/2025 23:30:36","896","24.4","33"
"04/02/2025 23:35:36","898","24.4","32.9"
"04/02/2025 23:40:36","907","24.4","32.9"
"04/02/2025 23:45:36","901","24.4","33"
"04/02/2025 23:50:35","899","24.3","33"
"04/02/2025 23:55:35","895","24.3","33"
"05/02/2025 00:00:35","899","24.3","32.9"
"05/02/2025 00:05:35","898","24.3","33"
"05/02/2025 00:10:36","901","24.2","33"
"05/02/2025 00:15:36","905","24.3","32.9"
"05/02/2025 00:20:35","900","24.2","32.9"
"05/02/2025 00:25:35","894","24.3","32.9"
"05/02/2025 00:30:35","890","24.2","32.9"
"05/02/2025 00:35:35","906","24.2","32.9"
"05/02/2025 00:40:35","893","24.2","32.9"
"05/02/2025 00:45:35","902","24.2","32.9"
"05/02/2025 00:50:35","906","24.2","32.9"
"05/02/2025 00:55:35","909","24.1","32.9"
"05/02/2025 01:00:35","904","24.1","32.9"
"05/02/2025 01:05:36","904","24.1","32.9"
"05/02/2025 01:10:36","910","24.1","32.9"
"05/02/2025 01:15:36","898","24.1","32.9"
"05/02/2025 01:20:36","904","24.1","32.9"
"05/02/2025 01:25:36","891","24.1","32.8"
"05/02/2025 01:30:36","908","24.1","32.8"
"05/02/2025 01:35:34","895","24.1","32.8"
"05/02/2025 01:40:34","904","24.2","32.7"
"05/02/2025 01:45:34","898","24.2","32.7"
"05/02/2025 01:50:34","907","24.2","32.7"
"05/02/2025 01:55:35","890","24.2","32.7"
"05/02/2025 02:00:33","901","24.2","32.7"
"05/02/2025 02:05:33","898","24.3","32.6"
"05/02/2025 02:10:35","900","24.2","32.7"
"05/02/2025 02:15:35","902","24.2","32.7"
"05/02/2025 02:20:33","901","24.2","32.7"
"05/02/2025 02:25:34","904","24.2","32.6"
"05/02/2025 02:30:34","908","24.2","32.6"
"05/02/2025 02:35:34","906","24.3","32.6"
"05/02/2025 02:40:33","896","24.3","32.6"
"05/02/2025 02:45:33","925","24.3","32.6"
"05/02/2025 02:50:34","904","24.3","32.6"
"05/02/2025 02:55:34","912","24.3","32.6"
"05/02/2025 03:00:35","911","24.3","32.6"
"05/02/2025 03:05:34","906","24.4","32.6"
"05/02/2025 03:10:34","904","24.4","32.6"
"05/02/2025 03:15:34","908","24.3","32.6"
"05/02/2025 03:20:33","924","24.3","32.6"
"05/02/2025 03:25:34","895","24.4","32.6"
"05/02/2025 03:30:33","921","24.4","32.6"
"05/02/2025 03:35:34","915","24.5","32.6"
"05/02/2025 03:40:34","908","24.4","32.6"
"05/02/2025 03:45:33","903","24.4","32.5"
